original_language,original_title,overview,popularity,release_date,vote_average,vote_count,movie,year,status
ja,映画ドラえもん 新・のび太の宇宙開拓史,"While Nobita is sleeping, he suddenly feels the floor is trembling, like there would be an earthquake in his room. A little rabbit from an alternate universe named Chamii opens the door between the dimensions using a hammer and gets inside Nobita's room through the floor. Nobita wakes up and Doraemon hears somebody steal food from the fridge in the kitchen. It is Chamii, who gets caught by Doraemon and Nobita. She shows them the passageway through Nobita's floor into the spaceship. After they enter the spaceship, they see Koya Koya Planet. They meet a boy named Roppuru.",6.586,2009-03-07,6.803,33.0,Doraemon: The Record of Nobita's Spaceblazer,2009,remake
en,Double Indemnity,"A scheming wife lures an insurance investigator into helping murder her husband and then declare it an accident. The investigator's boss, not knowing his man is involved in it, suspects murder and sets out to prove it.",2.938,1973-10-13,5.2,12.0,Double Indemnity,1973,remake
en,Dr. Jekyll and Mr. Hyde,"Dr. Jekyll believes good and evil exist in everyone and creates a potion that allows his evil side, Mr. Hyde, to come to the fore. He faces horrible consequences when he lets his dark side run amok.",8.807,1941-08-12,6.479,142.0,Dr. Jekyll and Mr. Hyde,1941,remake
en,Dr. M,"In the not-too-distant future Berlin is shocked by a series of spectacular suicides; a policeman's investigations lead him to a beautiful, enigmatic woman and the revelation of a sinister plot to manipulate the population through mass hypnosis.",1.233,1990-05-24,4.2,8.0,Dr. M,1990,remake
en,Dumbo,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",21.324,2019-03-27,6.651,4001.0,Dumbo,2019,remake
,,,,,,,Frank Herbert's Dune,2000,remake
,,,,,,,"Dune (2021 film)
Dune: Part Two",2023,remake
en,Tortilla Soup,A Mexican-American master chef and father to three daughters has lost his taste for food but not for life.,4.174,2001-08-24,6.0,38.0,Tortilla Soup,2001,remake
en,Edge of Darkness,"As a seasoned homicide detective, Thomas Craven has seen the bleakest side of humanity. But nothing prepares him for the toughest investigation of his life: the search for his only daughter Emma's killer. Now, he is on a personal mission to uncover the disturbing secrets surrounding her murder, including corporate corruption, government collusion and Emma's own mysterious life.",8.94,2010-01-28,6.34,1369.0,Edge of Darkness,2010,remake
en,Buddy Buddy,"During a high profile Mafia testimony case, a contract killer checks-in a hotel room near the courthouse while his next door depressed neighbor wants to commit suicide due to marital problems.",4.325,1981-04-02,6.3,81.0,Buddy Buddy,1981,remake
en,Elf: Buddy's Musical Christmas,Santa narrates the story of Buddy's travels to New York City to meet the father he never knew he had. Along the way his unrelenting cheer transforms the lives of everyone he meets and opens his father's eyes to the magic of Christmas.,4.206,2014-12-16,5.6,22.0,Elf: Buddy's Musical Christmas,2014,remake
en,Escape to Witch Mountain,The tale of two orphan twins with special powers who go looking for their origins. The two are hindered by an avaricious tycoon who only wants to exploit their abilities.,4.568,1995-04-29,5.442,43.0,Escape to Witch Mountain,1995,remake
en,Evil Dead,"Five young friends find the mysterious and fiercely powerful Book of the Dead, and unable to resist its temptation, release a violent demon on a bloodthirsty quest to possess them all.",90.016,2013-04-05,6.505,4075.0,Evil Dead,2013,remake
en,The Experiment,20 men are chosen to participate in the roles of guards and prisoners in a psychological study that ultimately spirals out of control.,19.143,2010-07-15,6.384,1080.0,The Experiment,2010,remake
hi,Naina,"On a day of solar eclipse, five year old, Naina, loses her eyesight and her parents in a road accident in London. Twenty years later, she is bestowed with the gift of sight thanks to the marvels of modern science. Her period of darkness is over; or is it? A horrifying period of darkness begins. What is this curse that has been upon her? Will she ever be able to escape it? Will this extraordinary s",2.471,2005-05-20,3.7,7.0,Naina,2005,remake
en,The Eye,"Violinist Sydney Wells was accidentally blinded by her sister Helen when she was five years old. She submits to a cornea transplantation, and while recovering from the operation, she realizes that she is seeing dead people.",13.483,2008-02-01,5.788,921.0,The Eye,2008,remake
en,Fame,"An updated version of the 1980 musical, which centered on the students of the New York Academy of Performing Arts.",10.1,2009-09-23,5.7,335.0,Fame,2009,remake
en,The Farmer Takes a Wife,"Erie Canal, N.Y., 1850: Molly Larkins, cook on Jotham Klore's canal boat, has a love-hate relationship with her boss. She hires handsome new haul-horse driver Dan Harrow and the inevitable triangle develops (complicated by Dan's desire to farm and Molly's to boat) against a background of the canalmen's fight against the encroaching railroad.",0.968,1953-06-12,2.5,2.0,The Farmer Takes a Wife,1953,remake
en,Father of the Bride,"George Banks is an ordinary, middle-class man whose 22 year-old daughter Annie has decided to marry a man from an upper-class family, but George can't think of what life would be like without his daughter. His wife tries to make him happy for Annie, but when the wedding takes place at their home and a foreign wedding planner takes over the ceremony, he becomes slightly insane.",10.707,1991-12-20,6.451,1185.0,Father of the Bride,1991,remake
en,Father of the Bride,"A father coming to grips with his daughter’s upcoming wedding through the prism of multiple relationships within a big, sprawling Cuban-American family.",13.974,2022-07-21,6.562,121.0,Father of the Bride,2022,remake
en,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",9.39,1995-12-08,6.244,641.0,Father of the Bride Part II,1995,remake
cn,黑貓,"Catherine is a violent and disturbed young lady who is shot down by the government in one of her escapades. She wakes up in a training facility and is taught to use weapons, combat, and is put through heavy endurance training. When she is done, she is given the code name ""Black Cat"". Catherine is now an assassin for the government and is very good at it but she soon finds a boyfriend and is caught between her love for him and her deal with the government",3.71,1991-08-17,4.8,13.0,Black Cat,1991,remake
en,Point of No Return,"Hardened criminal Maggie Hayward's consistent violence, even in police custody, ends in the execution chamber. However, top-secret US government agent 'Bob' arranges a staged death, so Maggie can be elaborately trained as a phantom killer and subdued into obedience.",10.188,1993-03-19,6.266,609.0,Point of No Return,1993,remake
en,Ferdinand,"Ferdinand, a little bull, prefers sitting quietly under a cork tree just smelling the flowers versus jumping around, snorting, and butting heads with other bulls. As Ferdinand grows big and strong, his temperament remains mellow, but one day five men come to choose the ""biggest, fastest, roughest bull"" for the bullfights in Madrid and Ferdinand is mistakenly chosen.  Based on the classic 1936 children's book by Munro Leaf.",27.619,2017-12-09,7.2,2572.0,Ferdinand,2017,remake
fr,De battre mon cœur s'est arrêté,"Like his father, Tom is a real estate agent who makes his money from dirty, and sometimes brutal, deals. But a chance encounter prompts him to take up the piano and become a concert pianist. He auditions with the help of a beautiful, young virtuoso pianist who cannot speak French - music is their only exchange. But pressures from the ugly world of his day job soon become more than he can handle...",7.774,2005-03-16,6.946,369.0,The Beat That My Heart Skipped,2005,remake
en,The Firm,"Set in the 1980s, Dom is a teenager who finds himself drawn into the charismatic world of football 'casuals,influenced by the firm's top boy, Bex. Accepted by the gang for his fast mouth and sense of humor, Dom soon becomes one the boys. But as Bex and his gang clash with rival firms across the country and the violence spirals out of control, Dom realizes he wants out - until he learns it's not that easy to simply walk away.",7.05,2009-09-18,5.627,55.0,The Firm,2009,remake
en,Firestarter,"For more than a decade, parents Andy and Vicky have been on the run, desperate to hide their daughter Charlie from a shadowy federal agency that wants to harness her unprecedented gift for creating fire into a weapon of mass destruction. Andy has taught Charlie how to defuse her power, which is triggered by anger or pain. But as Charlie turns 11, the fire becomes harder and harder to control. After an incident reveals the family's location, a mysterious operative is deployed to hunt down the family and seize Charlie once and for all. Charlie has other plans.",16.09,2022-05-12,5.8,515.0,Firestarter,2022,remake
es,Los que volvieron,"A small disparate group of people are aboard a multi-day, multi-stop flight from Mexico City to Buenos Aires.",0.84,1948-01-21,5.2,4.0,Los que volvieron,1948,remake
en,Back from Eternity,A South American plane loaded with an assortment of characters crash lands in a remote jungle area in the middle of a storm. The passengers then discover they are in an area inhabited by vicious cannibals and must escape before they are found. A remake of Five Came Back (1939).,1.871,1956-09-07,6.6,17.0,Back from Eternity,1956,remake
en,Flatliners,"Five medical students, hoping to understand the mystery of what lies beyond life, embark on a dangerous experiment. When their hearts are stopped for a short period of time, they have a near-death experience…",16.264,2017-09-28,5.683,2104.0,Flatliners,2017,remake
en,Flight of the Phoenix,"When an oil rig in the Gobi Desert of Mongolia proves unproductive, an aircraft crew are sent to shut the operation down and fly them out. On the flight out over the desert on the way to Beijing, Capt. Frank Towns and co-pilot A.J. are unable to keep their cargo plane, a C-119 Flying Boxcar, in the air when a violent sandstorm strikes. Crash-landing in a remote uncharted part of the desert, the two pilots and their passengers -- a crew of oil workers and a drifter -- must work together to survive by rebuilding the aircraft. Soon, low supplies and a band of merciless smugglers add even greater urgency to their task.",11.363,2004-12-17,5.952,753.0,Flight of the Phoenix,2004,remake
en,Flipper,"Sandy Ricks is sent by his mom to Coral Key, a rustic island in the Florida keys, to spend the summer with his uncle Porter Ricks. Sandy dislikes everything about his new environment until a new friend comes into his life, a dolphin named Flipper, that brings uncle and nephew together and leads Sandy on the summer adventure of a lifetime.",10.282,1996-05-17,5.552,280.0,Flipper,1996,remake
en,The Fly,"When Seth Brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. Unbeknownst to him, a common housefly manages to get inside the device and the two become one.",27.827,1986-08-15,7.379,3785.0,The Fly,1986,remake
en,The Fog,"Trapped within an eerie mist, the residents of Antonio Bay have become the unwitting victims of a horrifying vengeance. One hundred years earlier, a ship carrying lepers was purposely lured onto the rocky coastline and sank, drowning all aboard. Now they're back – long-dead mariners who've waited a century for their revenge.",18.608,2005-10-14,4.5,630.0,The Fog,2005,remake
en,That Night in Rio,"An entertainer in Rio impersonates a wealthy aristocrat. When the aristocrat's wife asks him to carry the impersonation further, complications ensue.",2.616,1941-04-11,6.188,16.0,That Night in Rio,1941,remake
en,On the Riviera,"In this fast-paced remake of the Muarice Chavlier vehicle Folies Bergere, talented Danny Kaye plays both a performer and a heroic French military pilot.",2.281,1951-04-20,6.233,15.0,On the Riviera,1951,remake
en,Footloose,"Ren MacCormack is transplanted from Boston to the small southern town of Bomont where loud music and dancing are prohibited. Not one to bow to the status quo, Ren challenges the ban, revitalizing the town and falling in love with the minister’s troubled daughter Ariel in the process.",19.672,2011-10-06,6.603,1523.0,Footloose,2011,remake
it,Era di venerdì 17,"The Provence, somewhere in the 1950's. Paul Verdier, traveling salesman, leaves his home and his quarrelsome wife for his weekly round. On the train he meets a young woman, Marie, who looks a little lost. No wonder. Marie is pregnant but lacks the customary husband. She's returning to her village but is not exactly looking forward to the confrontation with her parents and the villagers, all pretty conservative people. After getting to know Paul a little better (for which there is ample time during the trip by train and bus) Marie decides to ask Paul to act as her husband, just to allay the suspicions of her family. After some hesitating Paul accepts, charmed by the girl and unaware of the complications such is bound to cause to his own life.",1.021,1956-12-20,5.7,6.0,The Virtuous Bigamist,1956,remake
en,A Walk in the Clouds,World War II vet Paul Sutton falls for a pregnant and unwed woman who persuades him -- during their first encounter -- to pose as her husband so she can face her family.,21.694,1995-08-11,7.207,801.0,A Walk in the Clouds,1995,remake
en,Frankenweenie,"When a car hits young Victor's pet dog Sparky, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them that Sparky's still the good, loyal friend he was.",19.672,2012-10-04,6.938,2944.0,Frankenweenie,2012,remake
en,Freaky Friday,"Fun-loving Annabelle Andrews and her uptight mother, Ellen, have a hard time getting along with each other. One Friday the 13th, they both wear magical necklaces that make them switch bodies for the day.",4.57,1995-05-06,5.818,22.0,Freaky Friday,1995,remake
en,Freaky Friday,"Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancé. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives.",27.349,2003-08-05,6.447,3352.0,Freaky Friday,2003,remake
en,Freaky Friday,"When an overworked mother and her teenage daughter magically swap bodies, they have just one day to put things right again before mom’s big wedding.",10.78,2018-09-14,5.418,104.0,Freaky Friday,2018,remake
en,Freaky,"A mystical, ancient dagger causes a notorious serial killer to magically switch bodies with a 17-year-old girl.",19.066,2020-11-12,6.597,1317.0,Freaky,2020,remake
en,Pick a Star,A Cinderella story of a young country girl who comes to Hollywood and achieves movie stardom with the help of a publicity man.,2.155,1937-05-21,4.0,4.0,Pick a Star,1937,remake
en,Bud Abbott and Lou Costello in Hollywood,"When two bumbling barbers act as agents for a talented but unknown singer, they stage a phony murder in order to get him a plum role.",3.006,1945-10-05,5.75,22.0,Abbott and Costello in Hollywood,1945,remake
en,Fright Night,"A teenager suspects his new neighbour is a vampire. Unable to convince anyone, he tries to enlist the help of a self-proclaimed vampire hunter and magician.",14.5,2011-08-18,6.222,1730.0,Fright Night,2011,remake
en,His Girl Friday,"Hildy, the journalist former wife of newspaper editor Walter Burns, visits his office to inform him that she's engaged and will be getting remarried the next day. Walter can't let that happen and frames the fiancé, Bruce Baldwin, for one thing after another, to keep him temporarily held in prison, while trying to steer Hildy into returning to her old job as his employee.",10.934,1940-01-18,7.432,694.0,His Girl Friday,1940,remake
en,The Front Page,A journalist suffering from burn-out wants to finally say goodbye to his office – but his boss doesn’t like the idea one bit.,11.708,1974-11-01,7.322,289.0,The Front Page,1974,remake
en,Switching Channels,A television news chief courts his anchorwoman ex-wife with an eleventh-hour story.,4.122,1988-03-05,5.983,58.0,Switching Channels,1988,remake
en,Three Fugitives,"On his first day after being released from jail for 14 armed bank robberies, Lucas finds himself caught up in someone else's robbery. Perry has decided to hold up the local bank to raise money so that he can keep his daughter, Meg, and get her the treatment she needs. Dugan, a detective, assumes Lucas helped plan the robbery, and hence Lucas, Perry and Meg become three fugitives.",13.488,1989-01-27,6.713,242.0,Three Fugitives,1989,remake
en,Fun with Dick and Jane,"After Dick Harper loses his job at Globodyne in an Enron-esque collapse, he and his wife, Jane, turn to crime in order to handle the massive debt they now face. Two intelligent people, Dick and Jane actually get pretty good at robbing people and even enjoy it -- but they have second thoughts when they're reminded that crime can hurt innocent people. When the couple hears that Globodyne boss Jack McCallister actually swindled the company, they plot revenge.",16.808,2005-12-21,6.192,2131.0,Fun with Dick and Jane,2005,remake
en,Funny Games,"When Ann, husband George, and son Georgie arrive at their holiday home they are visited by a pair of polite and seemingly pleasant young men. Armed with deceptively sweet smiles and some golf clubs, they proceed to terrorize and torture the tight-knit clan, giving them until the next day to survive.",12.476,2008-03-14,6.576,1800.0,Funny Games,2007,remake
en,Gambit,"An art curator decides to seek revenge on his abusive boss by conning him into buying a fake Monet, but his plan requires the help of an eccentric and unpredictable Texas rodeo queen.",14.014,2012-04-25,5.422,585.0,Gambit,2012,remake
en,The Gambler,"Literature professor Jim Bennett leads a secret life as a high-stakes gambler. Always a risk-taker, Bennett bets it all when he borrows from a gangster and offers his own life as collateral. Staying one step ahead, he pits his creditor against the operator of an illicit gambling ring while garnering the attention of Frank, a paternalistic loan shark. As his relationship with a student deepens, Bennett must risk everything for a second chance.",22.648,2014-12-25,5.909,1212.0,The Gambler,2014,remake
en,Under Suspicion,"A lawyer is asked to come to the police station to clear up a few loose ends in his witness report of a foul murder. ""This will only take ten minutes"", they say, but it turns out to be one loose end after another, and the ten minutes he is away from his speech become longer and longer.",10.945,2000-09-24,6.135,392.0,Under Suspicion,2000,remake
en,Gaslight,A newlywed fears she's going mad when strange things start happening at the family mansion.,11.28,1944-05-04,7.529,391.0,Gaslight,1944,remake
en,A Southern Yankee,"Red Skelton plays Aubrey Filmore, a feather-brained but lovable bellboy who dreams of becoming an agent for the Union's secret service during the Civil War.",0.733,1948-08-05,5.2,4.0,A Southern Yankee,1948,remake
en,Get Carter,"Jack Carter, a mob enforcer living in Las Vegas, travels back to his hometown of Seattle for his brother's funeral. During this visit, Carter realizes that the death of his brother was not accidental, but a murder. With this knowledge, Carter sets out to kill all those responsible.",11.618,2000-10-06,5.131,476.0,Get Carter,2000,remake
en,Gloria,"After serving a prison term for her boyfriend, a streetwise, middle-aged moll named Gloria stands up against the mobs, which is complicated by a six-year-old urchin with a will of his own, whom she reluctantly takes under her wing after his family has been gunned down.",6.447,1999-01-22,5.867,90.0,Gloria,1999,remake
en,Shark Tale,"Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship.",37.669,2004-09-20,6.0,5778.0,Shark Tale,2004,remake
ja,東京ゴッドファーザーズ,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",13.835,2003-12-29,7.884,1013.0,Godfather,2007,remake
en,Going in Style,"Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.",37.941,2017-04-06,6.681,2495.0,Going in Style,2017,remake
en,Forbidden Fruit,"Mary Maddock works as a seamstress to bring home money while her husband Steve, unemployed, has no real prospects of earning money. Mary's employers, are trying to strike an oil related business deal with a rich man by the name of Nelson Rogers. The deal does not seem to be on the table, as Mr. Rogers is leaving town shortly and does not have the time to work out the details of such a deal. In an order to entice him to stay, Mrs. Mallory - wife of Mr. Mallory who is proposing the business deal - convinces Mary to be her guest at a dinner party with the intent of making Mr. Rogers fall for her and thus stay long enough for Mr. Mallory to make him agree to a business deal.",0.6,1921-01-03,6.1,8.0,Forbidden Fruit,1921,remake
en,Gone in Sixty Seconds,"Upon learning that he has to come out of retirement to steal 50 cars in one night to save his brother Kip's life, former car thief Randall ""Memphis"" Raines enlists help from a few ""boost happy"" pals to accomplish a seemingly impossible feat. From countless car chases to relentless cops, the high-octane excitement builds as Randall swerves around more than a few roadblocks to keep Kip alive.",20.92,2000-06-09,6.401,3894.0,Gone in 60 Seconds,2000,remake
en,The Good Companions,"The story revolves around the Dinky Doos, a provincial musical troupe living from hand to mouth.",1.204,1957-04-22,0.0,0.0,The Good Companions,1957,remake
de,The Goodbye Girl,"Musical dancer on the way out (at 36) Paula McFadden had it swell with actor Tony DeSanti, but instead of taking her to Hollywood he gets a European movie part. He even sublets their (his) New York apartment to Elliot Garfield, who generously lets her stay, even keeping the master bedroom. Pragmatic pre-teen daughter Lucy soon takes to his charm, but Paula remains determined to hate all actors. Despite the stress of a Broadway Shakespeare lead he must play too queer for Frisco, he's determined to snatch romance from ingratitude.",1.071,2004-01-16,6.0,10.0,The Goodbye Girl,2004,remake
en,Paradise,A 10-year-old boy spends a summer in the country with a childless couple and a precocious girl.,4.952,1991-09-18,6.209,43.0,Paradise,1991,remake
en,The Last Bandit,"About to marry Jim Plummer, Kate Foley runs off to Nevada when Ed Bagley convinces her a quick fortune can be made robbing gold shipments that are being transported by the railroad. In Bannock City she meets reformed-bandit Frank Plummer, posing as Frank Norris, brother of Jim Plummer, who has being going straight and working as an express shipment guard. Jim also shows up and plans a robbery by stealing a train and hiding it in an abandoned tunnel. The two brothers are on opposite sides of the law with the now-reformed Kate caught in the middle.",1.741,1949-02-25,6.0,1.0,The Last Bandit,1949,remake
en,South Pacific Trail,"Rex, Slim and the boys are fired by a wealthy rancher but decide to help him out when his daughter intends on marrying a shifty, gold-digging actor. Meanwhile, the rancher's foreman executes plans for a train robbery.",0.952,1952-10-19,0.0,0.0,South Pacific Trail,1952,remake
en,Stewie Griffin: The Untold Story,"The major sub-plot circles around the youngest Griffin, Stewie, who has a near-death experience at a pool when a lifeguard chair falls on him, but he survives. After having a vision of being in Hell, he decides to change his ways, but this doesn't last long. While watching television, he and Brian spot a man that looks like Stewie. Brian is convinced that he is Stewie's real father, until Stewie learns that the man is actually himself as an adult, taking a vacation from his own time period. Baby Stewie visits thirty years later to discover that his adult self, going by the name Stu, is a single blue-collar middle-aged virgin working at a Circuit City-type store. Meanwhile, Peter and Lois are trying to teach their two older kids, Meg and Chris, to date. In the future, Chris, who hasn't changed much, is working as a cop and is married to a foul-mouthed hustler named Vanessa. Meg is now called Ron, since she had a sex-change after college. Written by pepperann210",10.78,2005-07-23,6.948,338.0,Griffin & Phoenix,2006,remake
en,Guess Who,"When a young African-American woman brings her fiancé home to meet her parents, she's neglected to mention one tiny detail - he's white.",10.653,2005-03-25,5.967,812.0,Guess Who,2005,remake
en,The Guilty,A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.,25.343,2021-09-24,6.411,2176.0,The Guilty,2021,remake
en,Sergeants 3,"Mike, Chip, and Larry are three lusty, brawling U. S. Cavalry sergeants stationed in Indian Territory in 1870.",4.299,1962-02-10,5.3,8.0,Sergeants 3,1962,remake
en,Always,"Aerial firefighter Pete risks himself and his vintage World War II airplane in a constant and death-defying quest to fight forest wildfires, much to the dismay of his girlfriend, Dorinda . His love for Dorinda and the advice of fellow pilot Al convince Pete to give up his perilous career, but he flies one last mission. Pete heroically saves Al's plane from certain destruction, but with supernatural consequences.",10.113,1989-12-22,6.279,503.0,Always,1989,remake
hi,सनम बेवफ़ा,"Salman falls in love with Ruksar but their fathers, despite being neighbours, are sworn enemies. The couple end up marrying but they are shocked when they finally discover the reason why their fathers allow the marriage to take place.",2.54,1991-01-11,5.286,7.0,Sanam Bewafa,1991,remake
en,Halloween,"After being committed for 17 years, Michael Myers, now a grown man and still very dangerous, escapes from the mental institution (where he was committed as a 10 year old) and he immediately returns to Haddonfield, where he wants to find his baby sister, Laurie. Anyone who crosses his path is in mortal danger.",22.634,2007-08-31,6.211,2047.0,Halloween,2007,remake
en,Desire,"Madeleine steals a string of pearls in Paris and uses US engineer Tom, who is driving on his vacation to Spain, to get the pearls out of France. But getting the pearls back from him proves to be difficult without falling in love.",2.003,1936-04-11,6.647,34.0,Desire,1936,remake
ja,一命,"A tale of revenge, honor and disgrace, centering on a poverty-stricken samurai who discovers the fate of his ronin son-in-law, setting in motion a tense showdown of vengeance against the house of a feudal lord.",9.435,2011-10-15,7.3,143.0,Hara-Kiri: Death of a Samurai,2011,remake
en,The Haunting,Dr. David Marrow invites three distinct individuals to the eerie and isolated Hill House to be subjects for a sleep disorder study. The unfortunate guests discover that Marrow is far more interested in the sinister mansion itself — and they soon see the true nature of its horror.,14.521,1999-07-23,5.439,1206.0,The Haunting,1999,remake
en,Wild Card,"When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play… and it's all or nothing.",33.285,2015-01-14,5.634,1574.0,Wild Card,2015,remake
en,The Heartbreak Kid,"Eddie, the 40-year-old confirmed bachelor finally says ""I do"" to the beautiful and sexy Lila. But during their honeymoon in Mexico, the woman of his dreams turns out to be a total nightmare, and the guy who could never pull the trigger realizes he’s jumped the gun.",35.199,2007-10-05,5.7,1434.0,The Heartbreak Kid,2007,remake
en,Hellraiser,"A young woman struggling with addiction comes into possession of an ancient puzzle box, unaware that its purpose is to summon the Cenobites, a group of sadistic supernatural beings from another dimension.",56.593,2022-09-28,6.378,507.0,Hellraiser,2022,remake
en,High Noon,"High Noon tells the story of a lawman named Will Kane (Skerritt) who has just married a young bride, Amy (Thompson), promising to leave his dangerous career and settle down for a quiet life. Just as they are about to leave, word comes that a vicious killer Kane had sent to prison years earlier, is coming to town on the noon train seeking vengeance. Kane attempts to rally the town to fight the gunman, but not even his former deputy Harvey (Diamond) is willing to help. Harvey's cowardice infuriates his girlfriend, Helen (Alonso), whose romantic past with both Kane and with the arriving gunman convinces her to pack up and leave town. As the dreaded noon hour approaches, Kane realizes he must stand alone against the coming storm.",0.664,2000-08-20,3.0,2.0,High Noon,2000,remake
en,Colorado Territory,"In Colorado territory, outlaw Wes McQueen escapes jail to pull a railroad robbery but, upon meeting pretty settler Julie Ann, he wonders about going straight. Western remake of High Sierra with Joel McCrea taking over the Humphrey Bogart role.",2.78,1949-06-11,7.143,49.0,Colorado Territory,1949,remake
en,I Died a Thousand Times,After aging criminal Roy Earle is released from prison he decides to pull one last heist before retiring — by robbing a resort hotel.,3.688,1955-11-09,6.2,24.0,I Died a Thousand Times,1955,remake
en,The Hills Have Eyes,"Based on Wes Craven's 1977 suspenseful cult classic, The Hills Have Eyes is the story of a family road trip that goes terrifyingly awry when the travelers become stranded in a government atomic zone. Miles from nowhere, the Carter family soon realizes the seemingly uninhabited wasteland is actually the breeding ground of a blood-thirsty mutant family...and they are the prey.",31.073,2006-03-10,6.4,2594.0,The Hills Have Eyes,2006,remake
en,Harry Potter and the Chamber of Secrets,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",74.475,2002-11-13,7.724,19867.0,The Secret,2007,remake
en,Switching Channels,A television news chief courts his anchorwoman ex-wife with an eleventh-hour story.,4.122,1988-03-05,5.983,58.0,Switching Channels,1988,remake
en,Long Fliv the King,This offbeat comedy from future Hollywood screwball director McCarey is about a princess who must find a husband in 24 hours or forfeit her throne. She quickly marries a condemned man--but the man is pardoned.,0.6,1926-06-13,5.5,4.0,Long Fliv the King,1926,remake
en,The Hitcher,"On a stormy night, young Jim, who transports a luxury car from Chicago to California to deliver it to its owner, feeling tired and sleepy, picks up a mysterious hitchhiker, who has appeared out of nowhere, thinking that a good conversation will help him not to fall asleep. He will have enough time to deeply regret such an unmeditated decision.",14.753,1986-01-17,6.967,752.0,The Hitcher,2007,remake
en,Head Above Water,"Judge George brings his young wife, Nathalie, to a remote island for a vacation. But while George accompanies their only neighbor -- Nathalie's childhood friend Lance -- on a fishing trip, Nathalie spends time with her ex, Kent. When Kent ends up dead the next morning, Nathalie tries to hide the evidence before her husband gets home. After the body is found, the events of the previous night unravel, with unexpected revelations.",10.504,1996-11-07,5.938,121.0,Head Above Water,1996,remake
en,The Grinch,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,30.437,2018-11-08,6.826,3301.0,The Grinch,2018,remake
en,Holiday,"Johnny Case, a freethinking financier, has finally found the girl of his dreams — Julia Seton, the spoiled daughter of a socially prominent millionaire — and she's agreed to marry him. But when Johnny plans a holiday for the two to enjoy life while they are still young, his fiancée has other plans & that is for Johnny to work in her father's bank!",8.653,1938-05-26,7.318,203.0,Holiday,1938,remake
en,Holiday Affair,"""Meeting cute"" while Jodie's son Timmy enthuses over a model train set, Jodie and the raffish but likeable Steve immediately hit it off, but she is already engaged to conservative lawyer Paul Davis. The days between Christmas and New Year's Eve, Jodie finds herself in the unenviable position of choosing between two men whom she adores equally--a job not made easier by the well-meaning interference of son Timmy.",1.4,1996-12-15,5.6,4.0,Holiday Affair,1996,remake
en,Paris When It Sizzles,"Hollywood producer Alexander Meyerheimer has hired drunken writer Richard Benson to write his latest movie. Benson has been holed up in a Paris apartment supposedly working on the script for months, but instead has spent the time living it up. Benson now has just two days to the deadline and thus hires a temporary secretary, Gabrielle Simpson, to help him complete it in time.",10.244,1964-03-16,6.344,154.0,Paris When It Sizzles,1964,remake
en,Diamond Horseshoe,"Joe Davis Sr., headliner at a big nightclub, is visited by medical student son Joe Jr., who to Dad's chagrin wants to be a crooner, and soon comes between Dad and his girlfriend Claire. So glamorous dancer Bonnie is enlisted to distract Junior. Which does Bonnie want more, the fur coat or true love? Plot is a framework for numerous Ziegfeld style stage productions.",0.869,1945-05-02,4.0,1.0,Diamond Horseshoe,1945,remake
en,House of Wax,A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,23.911,2005-04-30,5.907,2667.0,House of Wax,2005,remake
en,House on Haunted Hill,An amusement park mogul offers a random group of diverse people $1 million to spend the night in a decrepit former mental institution.,11.315,1999-10-29,5.589,752.0,House on Haunted Hill,1999,remake
en,Sorority Row,"When five sorority girls inadvertently cause the murder of one of their sisters in a prank gone wrong, they agree to keep the matter to themselves and never speak of it again, so they can get on with their lives. This proves easier said than done, when after graduation a mysterious killer goes after the five of them and anyone who knows their secret.",10.467,2009-09-09,5.486,502.0,Sorority Row,2009,remake
